,2B,3B,HR,H,PA,BB,HBP,SF,G,AB,R,TB,RBI,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,SAC,XBH,GDP,GO,AO,GOAO,NP,score,result
2393,42,13,56,124,220,2,5,3,144,220,90,360,121,114,9,9,0.564,0.56,1.636,2.196,9,11,111,20,28,19,1.474,1964,4.0185056090006,2
2394,32,3,58,197,509,105,18,0,150,509,66,409,5,67,28,6,0.387,0.492,0.804,1.296,8,5,93,18,181,15,12.067,1260,4.018102279686205,2
2395,39,1,39,251,482,53,17,5,109,482,87,409,88,197,3,3,0.521,0.563,0.849,1.412,27,10,79,7,124,166,0.747,1172,4.017945398513094,2
2396,37,6,47,160,658,56,34,1,116,658,112,350,72,72,34,0,0.243,0.302,0.532,0.834,20,7,90,11,71,200,0.355,1584,4.017898041920306,2
2397,3,17,25,255,660,59,12,8,149,660,71,367,59,52,2,5,0.386,0.432,0.556,0.988,6,5,45,29,11,53,0.208,2572,4.017879609309272,2
2398,56,9,33,222,348,56,5,11,62,348,53,395,93,79,43,5,0.638,0.67,1.135,1.805,21,14,98,4,85,163,0.521,1340,4.0178320048147285,2
2392,13,0,59,123,513,109,33,5,23,513,125,313,129,163,49,4,0.24,0.37,0.61,0.98,20,10,72,25,145,147,0.986,731,4.01864322654585,2
2204,43,12,45,125,642,51,40,5,141,642,15,327,107,170,3,9,0.195,0.252,0.509,0.761,6,9,100,16,179,136,1.316,991,4.064403661410677,2
2203,26,5,45,232,433,82,27,15,42,433,96,403,82,33,21,10,0.536,0.592,0.931,1.523,3,3,76,19,101,156,0.647,3089,4.064730783677312,2
2202,54,19,16,215,585,64,33,7,73,585,17,355,79,162,12,1,0.368,0.425,0.607,1.032,23,3,89,24,36,144,0.25,31,4.06489811880414,2
2018,20,7,43,231,716,50,17,8,31,716,106,394,120,43,40,3,0.323,0.363,0.55,0.913,27,6,70,0,113,107,1.056,2837,4.109959271953503,2
2017,55,0,59,232,619,45,23,12,130,619,111,464,13,63,25,6,0.375,0.41,0.75,1.16,16,7,114,18,59,218,0.271,2166,4.110567216525803,2
2016,42,9,49,244,602,56,27,11,106,602,18,451,50,138,38,6,0.405,0.448,0.749,1.197,3,10,100,20,45,171,0.263,2906,4.110743054888103,2
2015,41,13,55,193,469,46,22,1,152,469,66,425,27,153,17,7,0.412,0.463,0.906,1.369,22,14,109,14,66,176,0.375,1295,4.111233267646149,2
2014,56,19,11,235,615,11,9,2,66,615,114,362,103,30,34,2,0.382,0.392,0.589,0.981,14,15,86,16,14,113,0.124,2908,4.111471848288222,2
2013,57,14,40,216,454,8,3,11,116,454,141,421,39,129,15,7,0.476,0.474,0.927,1.401,5,13,111,22,10,109,0.092,32,4.111660015102287,2
2012,44,12,44,122,551,92,8,8,92,551,101,322,57,184,48,2,0.221,0.329,0.584,0.913,22,15,100,6,31,20,1.55,817,4.112396701974437,2
2011,40,8,35,262,744,85,16,2,50,744,115,423,22,115,45,3,0.352,0.418,0.569,0.987,13,5,83,22,116,78,1.487,1756,4.1125508210152315,2
2010,55,10,55,149,155,3,40,9,43,155,150,389,127,49,33,3,0.961,0.91,2.51,3.42,30,1,120,23,166,103,1.612,2395,4.112652384253661,2
2009,8,17,36,256,403,90,35,8,21,403,95,406,62,87,24,0,0.635,0.691,1.007,1.698,4,3,61,10,139,175,0.794,1173,4.112794288570758,2
2008,46,19,18,184,485,106,19,2,121,485,89,322,16,30,43,3,0.379,0.489,0.664,1.153,12,11,83,16,160,192,0.833,484,4.112891377307476,2
2007,51,18,42,215,640,43,34,10,30,640,76,428,39,48,17,2,0.336,0.372,0.669,1.041,14,15,111,24,145,200,0.725,1256,4.1130540472548915,2
2006,57,15,56,209,424,50,23,8,85,424,41,464,14,189,31,0,0.493,0.537,1.094,1.631,30,12,128,11,29,206,0.141,1339,4.113076505653729,2
2005,8,6,38,191,422,106,21,3,113,422,145,325,81,31,11,8,0.453,0.559,0.77,1.329,1,12,52,4,178,68,2.618,2792,4.1131807744885025,2
2004,47,20,9,224,616,53,22,14,21,616,40,338,129,126,48,2,0.364,0.406,0.549,0.955,9,12,76,30,21,199,0.106,1540,4.113264644689547,2
2003,44,9,15,254,395,85,16,14,156,395,134,361,21,122,46,8,0.643,0.686,0.914,1.6,14,0,68,1,44,114,0.386,3125,4.113309489067133,2
2002,59,5,60,174,241,79,0,14,40,241,1,423,108,50,31,0,0.722,0.757,1.755,2.512,18,9,124,19,76,75,1.013,3215,4.113556084570301,2
1979,40,7,33,229,363,97,25,9,4,363,74,382,109,70,8,3,0.631,0.695,1.052,1.747,23,11,80,28,8,128,0.062,2615,4.119257585608944,2
1982,13,15,23,96,742,111,5,14,152,742,147,208,76,1,45,2,0.129,0.239,0.28,0.519,24,1,51,7,153,44,3.477,2931,4.118488474548059,2
1983,55,3,58,250,670,15,29,15,50,670,40,485,95,162,13,6,0.373,0.379,0.724,1.103,29,1,116,15,169,60,2.817,230,4.118178502896321,2
1984,56,1,39,159,625,120,7,2,155,625,71,334,38,162,43,0,0.254,0.373,0.534,0.907,25,6,96,19,27,185,0.146,1976,4.1179400822428365,2
1985,50,10,11,150,353,117,13,12,88,353,120,253,98,166,46,10,0.425,0.554,0.717,1.271,15,6,71,7,107,150,0.713,2956,4.117921376615761,2
1986,47,16,22,168,724,22,11,5,157,724,67,313,114,148,11,4,0.232,0.253,0.432,0.685,0,9,85,20,200,104,1.923,327,4.117739865689448,2
2019,54,6,51,161,731,3,13,3,142,731,47,380,130,133,39,1,0.22,0.223,0.52,0.743,0,5,111,17,144,71,2.028,2653,4.108802679527644,2
1989,26,18,43,182,603,41,0,10,140,603,72,373,64,190,39,7,0.302,0.341,0.619,0.96,16,3,87,10,193,47,4.106,1881,4.1173404726554494,2
1991,0,19,59,218,405,7,19,6,123,405,75,433,96,182,39,5,0.538,0.538,1.069,1.607,25,2,78,9,107,190,0.563,2445,4.116922110468574,2
1996,49,14,12,252,646,74,6,6,30,646,149,365,50,41,2,9,0.39,0.449,0.565,1.014,11,15,75,24,3,128,0.023,2099,4.114829244018465,2
1998,1,5,59,192,371,49,36,1,155,371,110,380,112,83,32,7,0.518,0.572,1.024,1.596,13,14,65,5,102,66,1.545,1657,4.114625523381536,2
1999,47,1,56,220,422,96,8,14,150,422,14,437,34,183,20,3,0.521,0.594,1.036,1.63,4,6,104,26,159,72,2.208,2343,4.1142251581665565,2
2000,0,18,43,100,117,100,26,7,133,117,101,265,114,151,13,3,0.855,0.893,2.265,3.158,29,14,61,12,127,108,1.176,50,4.114105080433086,2
2001,54,7,43,235,522,11,4,5,153,522,75,432,77,86,12,1,0.45,0.457,0.828,1.285,29,14,104,3,4,161,0.025,705,4.113578237692931,2
1990,47,4,46,178,707,111,8,5,107,707,35,371,51,39,34,10,0.252,0.351,0.525,0.876,8,5,97,12,77,21,3.667,1393,4.117165518044594,2
2020,44,20,14,196,732,22,13,15,32,732,142,322,111,2,47,3,0.268,0.283,0.44,0.723,11,8,78,7,188,15,12.533,1954,4.1087409788108635,2
2021,42,10,47,257,448,19,21,12,29,448,126,460,76,188,48,8,0.574,0.576,1.027,1.603,22,5,99,30,18,51,0.353,1531,4.108188696283979,2
2022,59,2,51,193,732,55,30,2,162,732,11,409,65,113,31,8,0.264,0.314,0.559,0.873,20,12,112,1,147,45,3.267,2918,4.108168753630358,2
2041,38,14,60,115,499,104,9,3,4,499,143,361,30,189,16,2,0.23,0.361,0.723,1.084,0,9,112,17,39,72,0.542,1234,4.104296807767652,2
2042,0,9,53,218,643,82,6,15,113,643,24,395,93,165,41,9,0.339,0.405,0.614,1.019,28,4,62,24,22,125,0.176,395,4.104172884444336,2
2043,21,13,41,194,209,45,10,9,123,209,111,364,105,163,22,0,0.928,0.909,1.742,2.651,27,2,75,23,42,28,1.5,1863,4.103481331713476,2
2044,55,16,30,170,543,44,14,7,88,543,45,347,105,37,24,3,0.313,0.36,0.639,0.999,6,6,101,28,77,106,0.726,1615,4.102766250053752,2
2045,58,16,60,247,378,0,3,8,66,378,93,517,16,133,1,7,0.653,0.64,1.368,2.008,4,8,134,25,97,207,0.469,1278,4.102537669295997,2
2046,54,5,52,174,439,30,30,5,97,439,91,394,104,52,22,3,0.396,0.43,0.897,1.327,13,9,111,28,78,102,0.765,741,4.102253197020081,2
2040,56,15,58,183,709,41,3,10,55,709,11,443,54,96,43,6,0.258,0.295,0.625,0.92,8,13,129,19,148,150,0.987,264,4.104556496605417,2
2047,4,14,36,77,689,97,35,9,127,689,135,217,111,104,6,1,0.112,0.219,0.315,0.534,12,12,54,18,166,81,2.049,1658,4.102193899675303,2
2049,32,0,19,245,381,96,20,3,117,381,121,334,110,181,50,9,0.643,0.71,0.877,1.587,18,5,51,27,91,147,0.619,1088,4.102005898132625,2
2050,33,8,48,162,505,99,4,8,124,505,84,355,48,71,22,8,0.321,0.426,0.703,1.129,30,14,89,4,62,173,0.358,2643,4.101920880099732,2
2051,34,5,28,192,408,98,15,11,74,408,115,320,108,123,17,10,0.471,0.561,0.784,1.345,16,7,67,1,5,193,0.026,2203,4.101689867053701,2
2052,47,13,38,134,670,78,36,6,161,670,23,321,63,156,34,0,0.2,0.281,0.479,0.76,26,10,98,8,163,132,1.235,1796,4.101419307091573,2
2053,57,7,46,137,377,117,13,13,67,377,40,346,69,138,13,5,0.363,0.501,0.918,1.419,5,4,110,2,157,26,6.038,276,4.100853901353767,2
2054,28,11,54,162,707,55,14,1,3,707,111,374,111,110,47,8,0.229,0.284,0.529,0.813,18,2,93,8,17,190,0.089,2833,4.100619755421333,2
2048,28,17,44,202,555,80,17,9,9,555,7,396,101,42,19,3,0.364,0.438,0.714,1.152,23,5,89,25,14,69,0.203,1136,4.102116886180428,2
1978,26,19,29,142,585,62,1,6,24,585,130,293,129,21,35,0,0.243,0.312,0.501,0.813,0,3,74,17,83,176,0.472,2740,4.11931982134101,2
2039,8,14,12,240,667,112,33,12,144,667,24,312,84,49,31,7,0.36,0.445,0.468,0.913,3,2,34,15,107,129,0.829,534,4.104652023122666,2
2037,49,20,36,105,208,96,32,6,127,208,88,302,36,69,0,8,0.505,0.648,1.452,2.1,23,1,105,23,4,52,0.077,925,4.1048158411018365,2
2023,51,4,38,183,670,96,22,5,109,670,140,356,20,194,3,5,0.273,0.362,0.531,0.893,0,10,93,9,120,82,1.463,290,4.107800516600063,2
2024,15,7,43,213,464,64,20,13,157,464,55,371,102,2,1,5,0.459,0.512,0.8,1.312,12,4,65,11,49,36,1.361,2642,4.106765592546468,2
2025,29,18,57,226,443,37,5,11,6,443,114,462,47,98,19,8,0.51,0.536,1.043,1.579,10,8,104,0,50,71,0.704,798,4.106740326417179,2
2026,26,20,9,165,551,49,24,2,152,551,129,258,109,83,47,8,0.299,0.355,0.468,0.823,21,12,55,30,182,204,0.892,89,4.106608696031934,2
2027,34,17,48,174,747,15,13,8,15,747,131,386,98,33,25,9,0.233,0.245,0.517,0.762,30,6,99,25,63,215,0.293,414,4.106415893079437,2
2028,58,3,43,188,711,69,34,1,1,711,134,381,84,97,7,2,0.264,0.329,0.536,0.865,27,3,104,8,200,92,2.174,1078,4.1062234745291954,2
2038,12,4,57,239,519,51,29,10,117,519,74,430,91,55,43,10,0.461,0.5,0.829,1.329,30,3,73,25,153,74,2.068,1960,4.1046794734109975,2
2029,53,19,4,208,580,30,38,11,51,580,139,311,108,34,21,5,0.359,0.383,0.536,0.919,18,7,76,9,160,161,0.994,695,4.106171164014131,2
2031,42,18,22,172,714,120,10,13,138,714,37,316,9,170,14,10,0.241,0.345,0.443,0.788,8,0,82,24,51,13,3.923,2511,4.105597512320672,2
2032,58,20,44,159,620,13,15,3,9,620,75,389,105,119,24,0,0.256,0.27,0.627,0.897,30,10,122,21,53,188,0.282,2579,4.10559524845717,2
2033,47,18,39,143,556,2,23,10,131,556,127,343,84,131,13,6,0.257,0.255,0.617,0.872,15,2,104,14,146,129,1.132,2866,4.105292342155833,2
2034,24,4,59,90,136,110,37,0,127,136,117,299,101,32,17,4,0.662,0.813,2.199,3.012,1,13,87,3,121,39,3.103,482,4.105068627717387,2
2035,44,18,56,211,326,64,12,14,32,326,22,459,42,139,19,9,0.647,0.681,1.408,2.089,28,7,118,13,22,220,0.1,2327,4.105008497319741,2
2036,43,10,24,221,379,50,20,14,132,379,70,356,105,86,31,2,0.583,0.612,0.939,1.551,27,12,77,8,199,99,2.01,775,4.104883219393454,2
2030,3,18,46,96,662,99,21,7,130,662,96,273,72,31,16,1,0.145,0.254,0.412,0.666,23,11,67,16,29,5,5.8,1715,4.105768076165625,2
2055,53,20,26,167,486,41,19,14,11,486,68,338,126,91,10,4,0.344,0.384,0.695,1.079,15,9,99,9,53,89,0.596,1126,4.100383209571709,2
1975,31,12,12,256,629,106,19,9,161,629,86,347,18,125,26,1,0.407,0.487,0.552,1.039,14,7,55,13,127,90,1.411,649,4.119691908028843,2
1972,19,0,38,233,361,105,24,4,43,361,141,366,110,59,9,3,0.645,0.719,1.014,1.733,11,14,57,7,125,17,7.353,924,4.120525351390404,2
1911,47,3,40,225,459,103,4,10,93,459,20,398,82,68,2,7,0.49,0.573,0.867,1.44,6,15,90,20,183,74,2.473,1918,4.136915902515155,2
1910,42,19,51,189,625,103,14,6,4,625,6,422,33,136,24,10,0.302,0.398,0.675,1.073,10,10,112,14,38,121,0.314,474,4.137196853875895,2
1909,60,20,26,253,301,22,11,7,102,301,82,431,45,155,15,9,0.841,0.833,1.432,2.265,26,6,106,16,154,26,5.923,2137,4.137204264164227,2
1908,48,8,42,189,536,108,6,9,49,536,138,379,18,74,21,5,0.353,0.455,0.707,1.162,22,4,98,24,140,218,0.642,1925,4.137299869984243,2
1907,52,12,10,218,568,54,2,10,152,568,97,324,85,166,50,0,0.384,0.43,0.57,1.0,0,3,74,2,133,146,0.911,86,4.137347805593708,2
1904,40,2,31,205,513,112,39,1,27,513,117,342,103,17,48,8,0.4,0.506,0.667,1.173,25,3,73,12,90,134,0.672,866,4.138411642773941,2
1903,9,14,39,192,600,87,37,12,104,600,120,346,53,47,27,7,0.32,0.399,0.577,0.976,7,8,62,27,136,26,5.231,3041,4.138539574883597,2
1902,42,20,46,208,520,92,12,4,11,520,40,428,27,50,20,3,0.4,0.487,0.823,1.31,28,1,108,26,109,187,0.583,1935,4.139816165434346,2
1900,23,1,40,246,627,102,26,2,52,627,136,391,70,198,44,9,0.392,0.476,0.624,1.1,20,4,64,30,58,182,0.319,696,4.140420228743807,2
1898,55,20,46,177,239,3,13,5,142,239,58,410,77,64,44,9,0.741,0.729,1.715,2.444,20,4,121,16,161,63,2.556,659,4.1406178328379095,2
1897,59,12,12,245,725,88,35,7,12,725,21,364,103,47,41,4,0.338,0.406,0.502,0.908,3,7,83,11,114,187,0.61,1221,4.140654757856496,2
1896,43,19,45,184,707,4,4,1,143,707,115,400,42,71,12,6,0.26,0.264,0.566,0.83,22,9,107,0,132,54,2.444,1323,4.140692831918903,2
1895,35,8,56,221,385,57,37,0,16,385,118,440,80,137,24,5,0.574,0.629,1.143,1.772,1,13,99,25,116,174,0.667,2124,4.141022270772375,2
1893,55,0,26,227,469,110,26,4,108,469,26,360,101,80,35,2,0.484,0.578,0.768,1.346,11,12,81,14,109,42,2.595,1973,4.141765813427615,2
1892,55,14,50,202,726,20,6,7,34,726,58,435,86,39,40,3,0.278,0.295,0.599,0.894,8,13,119,12,163,143,1.14,2625,4.141816373015123,2
1891,58,17,49,246,517,5,29,1,10,517,144,485,30,71,16,9,0.476,0.48,0.938,1.418,26,5,124,11,35,91,0.385,188,4.141881305430455,2
1889,12,18,53,140,354,91,2,6,42,354,116,347,80,43,23,2,0.395,0.512,0.98,1.492,19,13,83,24,131,88,1.489,2285,4.14227446668956,2
1863,13,12,53,182,708,117,14,10,18,708,131,378,29,186,5,3,0.257,0.358,0.534,0.892,25,12,78,5,123,150,0.82,806,4.149037787218969,2
1864,38,9,32,203,431,83,9,4,45,431,110,355,105,148,16,6,0.471,0.552,0.824,1.376,25,6,79,8,122,14,8.714,1186,4.148806477314741,2
1865,35,9,34,240,748,26,27,11,113,748,54,395,115,130,1,1,0.321,0.339,0.528,0.867,28,4,78,1,129,74,1.743,176,4.148177269772027,2
1867,22,2,35,250,358,69,6,12,148,358,62,381,126,32,16,3,0.698,0.727,1.064,1.791,16,3,59,14,155,97,1.598,1997,4.1480623000568775,2
1869,14,10,60,200,389,91,12,15,31,389,88,414,75,68,42,2,0.514,0.588,1.064,1.652,23,10,84,13,38,206,0.184,479,4.1474385879746976,2
1870,28,18,31,234,654,75,33,15,62,654,77,391,42,122,24,2,0.358,0.415,0.598,1.013,8,4,77,27,180,136,1.324,3109,4.147040165613297,2
1914,39,14,7,254,560,74,34,9,53,560,149,342,70,177,32,0,0.454,0.51,0.611,1.121,17,8,60,21,20,123,0.163,2667,4.135939282700959,2
1873,50,16,60,135,466,54,35,4,102,466,19,397,64,177,40,6,0.29,0.361,0.852,1.213,26,4,126,19,146,58,2.517,2596,4.14641760479647,2
1877,58,10,33,256,270,47,12,1,161,270,99,433,25,99,13,6,0.948,0.953,1.604,2.557,11,15,101,17,121,85,1.424,1858,4.145580294041456,2
1878,8,18,56,201,323,28,21,6,72,323,82,413,114,169,7,9,0.622,0.641,1.279,1.92,12,0,82,2,128,125,1.024,2101,4.145299384961279,2
1880,40,17,41,203,716,109,2,0,58,716,60,400,2,199,42,9,0.284,0.378,0.559,0.937,16,9,98,13,80,38,2.105,2344,4.1445564847031395,2
1881,24,19,55,146,282,70,27,5,82,282,5,373,109,200,25,10,0.518,0.605,1.323,1.928,2,0,98,6,25,195,0.128,2548,4.143849798831274,2
1883,55,11,42,183,646,71,29,10,23,646,52,386,85,55,25,8,0.283,0.349,0.598,0.947,23,6,108,16,174,159,1.094,341,4.1437018282049385,2
1885,60,14,52,161,708,64,6,2,138,708,20,405,20,152,11,3,0.227,0.291,0.572,0.863,17,7,126,6,169,94,1.798,2570,4.1436865747076155,2
1875,42,17,39,244,435,61,15,6,88,435,6,437,60,176,20,7,0.561,0.608,1.005,1.613,24,3,98,28,4,36,0.111,974,4.14575256933899,2
1915,37,10,29,169,491,92,40,3,129,491,145,313,49,195,46,5,0.344,0.445,0.637,1.082,10,7,76,26,100,13,7.692,2195,4.135686622420752,2
1917,49,15,26,225,637,52,23,13,93,637,29,382,83,168,4,8,0.353,0.395,0.6,0.995,19,12,90,18,93,53,1.755,2110,4.135334770760312,2
1918,36,19,9,128,602,104,17,2,117,602,94,229,96,138,27,4,0.213,0.328,0.38,0.708,12,10,64,26,180,126,1.429,145,4.135008186205509,2
1951,1,18,31,214,278,114,4,12,15,278,59,344,120,140,44,8,0.77,0.812,1.237,2.049,22,12,50,18,76,120,0.633,2220,4.125982923668271,2
1955,8,13,31,145,706,66,5,7,138,706,124,272,122,81,30,4,0.205,0.271,0.385,0.656,9,12,52,2,140,37,3.784,364,4.124672499528842,2
1956,56,4,38,212,712,34,21,2,80,712,92,390,108,122,29,4,0.298,0.329,0.548,0.877,26,3,98,22,117,50,2.34,864,4.124030753958279,2
1958,42,19,18,206,298,97,32,5,93,298,112,340,30,198,17,5,0.691,0.757,1.141,1.898,3,4,79,22,13,40,0.325,319,4.123670720069783,2
1959,12,15,57,140,665,82,8,10,17,665,36,353,127,43,39,8,0.211,0.293,0.531,0.824,21,13,84,25,42,134,0.313,332,4.123601468658158,2
1960,46,18,27,213,531,62,21,0,136,531,29,376,55,111,3,0,0.401,0.464,0.708,1.172,1,12,91,11,127,103,1.233,1322,4.122968217480178,2
1949,35,16,36,249,682,42,2,12,4,682,117,424,68,129,26,2,0.365,0.395,0.622,1.017,2,3,87,20,106,103,1.029,1455,4.126783037574937,2
1961,51,17,27,260,308,20,10,8,31,308,59,426,119,184,44,5,0.844,0.833,1.383,2.216,29,12,95,4,133,219,0.607,551,4.122785381167341,2
1963,2,18,56,173,317,41,4,4,108,317,49,379,130,180,31,6,0.546,0.591,1.196,1.787,14,1,76,24,129,74,1.743,2116,4.122478640455261,2
1964,52,5,52,223,658,35,36,7,29,658,24,441,123,85,45,9,0.339,0.369,0.67,1.039,10,2,109,17,13,84,0.155,245,4.122303407436524,2
1965,49,0,56,199,199,97,17,15,119,199,71,416,49,188,1,8,1.0,0.952,2.09,3.042,5,15,105,11,41,126,0.325,639,4.121896405318655,2
1967,1,19,45,234,367,54,26,1,72,367,84,408,88,22,46,0,0.638,0.682,1.112,1.794,20,8,65,5,108,54,2.0,2179,4.121454948074224,2
1970,52,8,56,221,223,6,22,10,90,223,62,457,110,8,39,9,0.991,0.95,2.049,2.999,12,12,116,5,103,35,2.943,1673,4.120809371039507,2
1971,8,11,31,246,303,75,40,11,162,303,36,369,103,87,22,6,0.812,0.825,1.218,2.043,1,0,50,22,45,15,3.0,303,4.120661494097309,2
1962,51,14,25,90,558,113,40,11,125,558,132,244,40,191,21,2,0.161,0.298,0.437,0.735,30,9,90,16,50,85,0.588,2212,4.122739719788322,2
1973,53,18,33,134,311,73,24,5,31,311,79,322,107,83,8,8,0.431,0.532,1.035,1.567,15,9,104,17,32,136,0.235,538,4.120023292721958,2
1947,59,11,38,148,619,38,15,15,26,619,94,343,129,134,38,4,0.239,0.277,0.554,0.831,15,14,108,28,183,46,3.978,30,4.127715718925051,2
1944,47,9,55,256,465,43,37,13,21,465,120,486,29,173,33,0,0.551,0.574,1.045,1.619,9,2,111,3,146,100,1.46,836,4.128715107270957,2
1919,49,14,28,174,696,101,8,14,41,696,135,335,28,13,34,0,0.25,0.339,0.481,0.82,10,13,91,6,84,40,2.1,1328,4.134697624936404,2
1923,3,10,33,258,720,56,34,11,9,720,148,380,119,118,21,4,0.358,0.399,0.528,0.927,23,3,46,13,119,113,1.053,2028,4.133802970989614,2
1924,52,4,28,187,411,58,14,0,157,411,112,331,105,52,29,4,0.455,0.522,0.805,1.327,22,5,84,28,158,108,1.463,465,4.133141890776714,2
1926,30,1,41,253,619,91,11,0,80,619,113,408,65,182,11,8,0.409,0.485,0.659,1.144,22,4,72,20,59,178,0.331,2795,4.133091784667032,2
1927,19,10,31,180,727,119,13,7,161,727,10,312,79,126,20,8,0.248,0.351,0.429,0.78,28,12,60,2,169,47,3.596,1618,4.132907477480771,2
1928,50,18,57,201,288,44,0,0,27,288,101,458,37,156,12,3,0.698,0.738,1.59,2.328,9,6,125,27,20,33,0.606,2826,4.13263037247817,2
1945,49,4,31,154,623,94,26,9,27,623,113,304,125,198,22,1,0.247,0.342,0.488,0.83,17,4,84,24,177,19,9.316,12,4.128222379681376,2
1929,11,11,59,222,542,39,25,3,96,542,145,432,52,45,44,3,0.41,0.447,0.797,1.244,18,7,81,15,177,16,11.062,1596,4.132585803190267,2
1932,43,17,19,112,477,96,14,4,131,477,36,246,122,4,12,7,0.235,0.36,0.516,0.876,2,5,79,10,152,108,1.407,1183,4.131698522721418,2
1933,57,15,11,199,534,92,33,15,86,534,59,319,69,58,50,1,0.373,0.454,0.597,1.051,23,11,83,2,121,16,7.562,1932,4.131659450356688,2
1934,47,14,36,229,417,77,17,7,72,417,27,412,63,198,35,3,0.549,0.611,0.988,1.599,29,9,97,11,74,33,2.242,243,4.131380325292688,2
1936,23,17,49,177,513,39,28,14,123,513,95,381,62,36,20,7,0.345,0.382,0.743,1.125,25,8,89,29,174,7,24.857,60,4.1308073903221105,2
1940,30,6,18,210,571,95,28,10,94,571,74,306,130,189,30,3,0.368,0.451,0.536,0.987,7,9,54,24,121,195,0.621,1924,4.129907569098789,2
1942,53,20,29,129,731,93,14,12,37,731,37,309,76,16,45,1,0.176,0.266,0.423,0.689,24,3,102,5,185,209,0.885,1450,4.129067699909409,2
1931,56,4,35,137,538,94,22,1,34,538,115,306,121,70,32,2,0.255,0.365,0.569,0.934,24,5,95,13,166,150,1.107,810,4.13209743617693,2
2056,57,19,57,133,362,37,9,14,18,362,121,399,50,30,15,2,0.367,0.412,1.102,1.514,30,12,133,22,34,89,0.382,1858,4.099807322296833,2
2057,18,16,34,262,639,83,38,2,103,639,67,414,18,186,29,6,0.41,0.477,0.648,1.125,4,11,68,6,59,103,0.573,3293,4.099234458832666,2
2058,5,12,57,122,204,117,24,6,42,204,134,322,88,84,2,9,0.598,0.731,1.578,2.309,20,13,74,3,58,5,11.6,2733,4.098415197433856,2
2164,27,13,57,232,620,51,25,5,35,620,67,456,52,149,23,3,0.374,0.419,0.735,1.154,19,3,97,22,102,141,0.723,1343,4.073783436030189,2
2163,48,5,35,207,571,60,16,11,81,571,96,370,91,89,31,9,0.363,0.416,0.648,1.064,27,5,88,26,40,121,0.331,2950,4.074062888113218,2
2162,7,7,32,198,472,112,23,1,88,472,71,315,124,170,39,9,0.419,0.53,0.667,1.197,3,2,46,10,126,191,0.66,1346,4.074065979328177,2
2161,41,18,20,181,353,86,36,8,152,353,40,318,59,101,13,2,0.513,0.597,0.901,1.498,9,13,79,14,60,179,0.335,164,4.074417690209237,2
2160,55,15,26,171,612,74,25,2,79,612,73,334,65,193,26,3,0.279,0.356,0.546,0.902,27,9,96,4,76,92,0.826,58,4.074742544123558,2
2159,59,18,11,190,409,37,35,5,161,409,102,318,64,51,41,4,0.465,0.503,0.778,1.281,23,12,88,24,183,92,1.989,2931,4.075150684752237,2
2158,15,0,54,224,412,103,19,13,102,412,123,401,49,137,34,2,0.544,0.619,0.973,1.592,6,4,69,4,70,143,0.49,27,4.075648898124742,2
2157,21,18,55,236,302,22,40,14,91,302,67,458,56,62,8,0,0.781,0.763,1.517,2.28,0,11,94,15,189,51,3.706,2010,4.076002076680093,2
2156,16,13,37,257,398,78,10,7,21,398,95,410,83,52,23,9,0.646,0.694,1.03,1.724,16,10,66,11,136,44,3.091,848,4.076140461946973,2
2155,48,10,33,122,563,108,7,6,17,563,129,289,89,145,36,4,0.217,0.34,0.513,0.853,24,7,91,11,20,159,0.126,1962,4.077117829099217,2
2154,2,7,58,214,743,25,1,7,106,743,139,404,96,17,42,5,0.288,0.308,0.544,0.852,8,11,67,30,6,151,0.04,3077,4.0771323749565616,2
2153,39,18,9,216,318,45,32,13,132,318,102,318,94,152,38,3,0.679,0.694,1.0,1.694,17,7,66,20,145,41,3.537,1313,4.07759820614328,2
2152,59,8,45,194,307,107,10,5,12,307,84,404,43,12,25,1,0.632,0.718,1.316,2.034,0,13,112,17,153,79,1.937,553,4.077788696304659,2
2151,56,4,60,154,302,100,7,15,45,302,34,398,76,106,34,3,0.51,0.609,1.318,1.927,13,9,120,23,113,148,0.764,2243,4.078292467586897,2
2150,54,7,21,253,326,40,18,1,69,326,118,384,113,196,40,7,0.776,0.798,1.178,1.976,9,9,82,5,8,127,0.063,3009,4.07861321570126,2
2149,55,14,19,206,454,17,7,10,140,454,54,346,124,46,48,9,0.454,0.464,0.762,1.226,3,15,88,19,143,178,0.803,999,4.0790866212983925,2
2148,8,15,53,249,472,30,4,10,69,472,10,446,124,94,18,6,0.528,0.545,0.945,1.49,12,15,76,12,108,110,0.982,1995,4.079167274509375,2
2134,34,18,47,176,385,80,27,3,37,385,122,387,28,99,5,9,0.457,0.547,1.005,1.552,4,6,99,5,80,160,0.5,1376,4.081992842738301,2
2135,45,19,48,113,537,51,12,14,51,537,115,340,64,159,14,0,0.21,0.272,0.633,0.905,27,0,112,22,5,90,0.056,38,4.081933212966988,2
2136,50,2,45,169,647,76,28,15,127,647,39,358,86,12,25,6,0.261,0.332,0.553,0.885,30,12,97,14,90,184,0.489,625,4.081742713169985,2
2137,36,20,12,167,419,67,40,15,128,419,54,279,107,90,46,6,0.399,0.467,0.666,1.133,16,14,68,17,4,28,0.143,417,4.081330051113554,2
2138,19,10,46,237,463,75,4,4,63,463,82,414,75,142,50,3,0.512,0.576,0.894,1.47,12,5,75,14,95,112,0.848,247,4.0812150865740415,2
